Time (s),Temperature,Potential_Temperature,Alert
2011,32.3,N/A,NORMAL
4020,32.3,N/A,NORMAL
6028,32.3,N/A,NORMAL
8036,32.3,N/A,NORMAL
10044,32.3,N/A,NORMAL
12052,32.3,N/A,NORMAL
14060,32.3,N/A,NORMAL
16068,32.3,N/A,NORMAL
18076,32.3,N/A,NORMAL
20084,32.3,32.3,NORMAL
22092,32.3,32.3,NORMAL
24100,32.3,32.3,NORMAL
26108,32.3,32.3,NORMAL
28116,32.3,32.3,NORMAL
30124,32.3,32.3,NORMAL
32132,32.3,32.3,NORMAL
34140,32.4,32.3,NORMAL
36148,32.6,32.4,NORMAL
38156,32.7,32.5,NORMAL
40164,32.9,32.8,NORMAL
42172,33,32.6,HIGH
44180,33.1,32.5,HIGH
46188,33.3,32.5,HIGH
48196,33.4,32.5,HIGH
50204,33.5,32.5,HIGH
52212,33.5,32.7,HIGH
54220,33.5,32.9,HIGH
56228,33.6,33.2,HIGH
58236,33.6,33.5,HIGH
60244,33.5,33.7,HIGH
62252,33.5,33.6,HIGH
64260,33.5,33.6,HIGH
66268,33.5,33.6,HIGH
68276,33.4,33.6,HIGH
70284,33.4,33.6,HIGH
72292,33.4,33.5,HIGH
74300,33.4,33.5,HIGH
76308,33.3,33.4,HIGH
78316,33.3,33.3,HIGH
80324,33.3,33.3,HIGH
82332,33.3,33.3,HIGH
84340,33.2,33.3,HIGH
